"date","stationReference","daily_rainfall","lat","long"
2023-09-01,"287946TP",5.7,51.415955,-0.162865
2023-09-01,"288092TP",11.2,51.4214,-0.109429
2023-09-01,"288504TP",0.4,51.349274,0.009666
2023-09-01,"289102TP",3.2,51.476541,-0.017866
2023-09-01,"290007TP",11.6,51.507135,0.134772
2023-09-01,"290200TP",26.6,51.280521,0.134285
2023-09-01,"290320",14.4,51.292886,0.195101
2023-09-01,"290578TP",6.2,51.367354,0.204407
2023-09-01,"291241TP",1.6,51.367559,0.09523
2023-09-01,"291477TP",3,51.458979,0.11237
2023-09-01,"294323",14.1,51.206865,0.129446
2023-09-01,"300001TP",2.2,51.13979,-0.960059
2023-09-01,"300874",1.4,51.373888,1.173263
2023-09-01,"3014",0,52.886657,-2.182004
2023-09-01,"3015",0.4,52.808314,-1.74405
2023-09-01,"301666",4.6,51.131926,0.967934
2023-09-01,"3025",0,52.701554,-2.119078
2023-09-01,"3026",0,52.79928,-2.275079
2023-09-01,"305111",7.2,51.098221,1.155768
2023-09-01,"3057",1.2,52.730505,-1.571247
2023-09-01,"3096",0,52.615214,-2.152813
2023-09-01,"3099",0,52.807639,-1.889433
2023-09-01,"3100",0.4,52.830414,-1.607371
2023-09-01,"3110",0.2,53.122311,-2.011159
2023-09-01,"3165",0,52.399545,-2.050654
2023-09-01,"3167",0,52.419334,-1.990391
2023-09-01,"3173",0.4,53.017139,-1.981319
2023-09-01,"3178",0.4,52.999107,-1.06794
2023-09-01,"3179",0,52.69041,-0.920654
2023-09-01,"3185",0.2,52.407451,-1.784594
2023-09-01,"3198",0.2,52.530102,-1.383041
2023-09-01,"3201",0.2,52.579333,-1.532878
2023-09-01,"3275",0,52.635078,-1.944539
2023-09-01,"3288",0.2,52.542109,-1.696942
2023-09-01,"3307",0.8,53.196879,-1.901908
2023-09-01,"3323",0.4,53.025808,-1.723384
2023-09-01,"3339",1,52.55502,-1.878268
2023-09-01,"3340",0,52.446032,-1.746153
2023-09-01,"3346",0.2,52.95331,-2.040883
2023-09-01,"3347",0,52.905076,-2.37685
2023-09-01,"3349",0.2,52.901997,-1.860947
2023-09-01,"3380",1,53.405172,-1.738982
2023-09-01,"3404",0.8,53.287863,-1.579192
2023-09-01,"340767",1.7,50.968137,-1.918056
2023-09-01,"3441",1,53.134445,-1.432716
2023-09-01,"3570",1,53.029694,-1.914215
2023-09-01,"3571",0.2,53.105132,-2.154547
2023-09-01,"3572",0.8,53.311933,-1.898644
2023-09-01,"3574",0.2,52.897659,-1.359998
2023-09-01,"3576",0.4,53.093957,-1.658736
2023-09-01,"3588",1,52.958861,-1.577925
2023-09-01,"3601",0,53.231399,-0.806723
2023-09-01,"3602",0.6,52.813347,-0.803365
2023-09-01,"3603",0,53.079174,-0.867665
2023-09-01,"3604",0.2,53.223303,-1.115505
2023-09-01,"3610",0.2,52.655516,-1.302927
2023-09-01,"3611",0.4,53.485476,-0.775492
2023-09-01,"3616",1,53.22531,-1.701132
2023-09-01,"3629",0.6,52.78808,-1.097664
